"minute","result","X","Y","xG","player","h_a","situation","shotType","home_team","away_team","home_goals","away_goals","date","player_assisted","lastAction","Outcome","zone"
71,"MissedShots",95.3400032043457,38.08,0.266897201538086,"Emmanuel Dennis","h","FromCorner","RightFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Hassane Kamara","Chipped","NoGoal","zone2"
80,"MissedShots",78.1200016021728,44.4720010375977,0.0182365160435438,"Juan Camilo HernÃ¡ndez","h","OpenPlay","RightFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Hassane Kamara","Pass","NoGoal","zone3"
14,"Goal",89.4599967956543,37.74,0.0684226304292679,"Jean-Philippe Mateta","a","OpenPlay","LeftFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00",NA,"None","Goal","zone2"
33,"MissedShots",82.7400032043457,44.2679989624024,0.0254903826862574,"Tyrick Mitchell","a","OpenPlay","LeftFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Wilfried Zaha","Pass","NoGoal","zone3"
37,"SavedShot",91.6650032043457,27.0639994812011,0.0983802899718285,"Michael Olise","a","OpenPlay","LeftFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Wilfried Zaha","Pass","NoGoal","zone2"
41,"Goal",94.7099967956543,29.4439994812011,0.319038569927216,"Conor Gallagher","a","OpenPlay","RightFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Tyrick Mitchell","Cross","Goal","zone2"
51,"MissedShots",96.7049983978272,46.58,0.0778522118926048,"Jean-Philippe Mateta","a","OpenPlay","LeftFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Wilfried Zaha","Pass","NoGoal","zone2"
84,"Goal",95.9700016021728,40.3920010375977,0.104622431099415,"Wilfried Zaha","a","OpenPlay","LeftFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","Jordan Ayew","Cross","Goal","zone2"
89,"Goal",89.6700016021728,43.9279989624023,0.124596536159515,"Wilfried Zaha","a","OpenPlay","RightFoot","Watford","Crystal Palace",1,4,"2022-02-23 19:30:00","James McArthur","TakeOn","Goal","zone2"
2,"SavedShot",80.2200016021728,47.8040020751953,0.0173246283084154,"Luis DÃ­az","h","OpenPlay","RightFoot","Liverpool","Leeds",6,0,"2022-02-23 19:45:00","Andrew Robertson","Pass","NoGoal","zone3"
